round_epochs,loss,val_loss,activation,batch_size,dense_layers,dropout,epochs,first_neuron,optimizer
115,0.1044822409749031,0.1127113476395607,selu,16,3,0,150,100,Adamax
86,0.1156197190284729,0.12028295546770096,selu,16,3,0,150,100,adam
109,0.08013497292995453,0.09330296516418457,selu,16,3,0,150,300,Adamax
75,0.09776881337165833,0.10739008337259293,selu,16,3,0,150,300,adam
112,0.07518772035837173,0.08999060094356537,selu,16,3,0,150,600,Adamax
69,0.1010388731956482,0.1075085923075676,selu,16,3,0,150,600,adam
150,0.1587199866771698,0.13459059596061707,selu,16,3,0.25,150,100,Adamax
65,0.1646331250667572,0.14732488989830017,selu,16,3,0.25,150,100,adam
150,0.14255942404270172,0.11702665686607361,selu,16,3,0.25,150,300,Adamax
114,0.13739198446273804,0.1282082051038742,selu,16,3,0.25,150,300,adam
150,0.127895787358284,0.11192671954631805,selu,16,3,0.25,150,600,Adamax
89,0.16882744431495667,0.1379149705171585,selu,16,3,0.25,150,600,adam
150,0.2113858014345169,0.1653238832950592,selu,16,3,0.5,150,100,Adamax
92,0.20554718375205994,0.1625034213066101,selu,16,3,0.5,150,100,adam
150,0.21108323335647583,0.15427224338054657,selu,16,3,0.5,150,300,Adamax
111,0.2110714614391327,0.15992014110088348,selu,16,3,0.5,150,300,adam
150,0.20345567166805267,0.14997783303260803,selu,16,3,0.5,150,600,Adamax
131,0.23863166570663452,0.15901727974414825,selu,16,3,0.5,150,600,adam
150,0.10475869476795197,0.1134866327047348,selu,16,5,0,150,100,Adamax
65,0.11564842611551285,0.1259555071592331,selu,16,5,0,150,100,adam
143,0.10382051020860672,0.11142224818468094,selu,16,5,0,150,300,Adamax
65,0.11515199393033981,0.1219802275300026,selu,16,5,0,150,300,adam
104,0.10421732813119888,0.11176249384880066,selu,16,5,0,150,600,Adamax
94,0.11715669929981232,0.1217772588133812,selu,16,5,0,150,600,adam
150,0.1725933700799942,0.14619795978069305,selu,16,5,0.25,150,100,Adamax
107,0.1756506711244583,0.15287084877490997,selu,16,5,0.25,150,100,adam
150,0.14982140064239502,0.13650894165039062,selu,16,5,0.25,150,300,Adamax
101,0.15751369297504425,0.14920662343502045,selu,16,5,0.25,150,300,adam
150,0.14442220330238342,0.13304249942302704,selu,16,5,0.25,150,600,Adamax
46,0.1641109436750412,0.15424734354019165,selu,16,5,0.25,150,600,adam
150,0.2747131884098053,0.21174170076847076,selu,16,5,0.5,150,100,Adamax
94,0.3077963888645172,0.24608764052391052,selu,16,5,0.5,150,100,adam
150,0.2372550517320633,0.20222949981689453,selu,16,5,0.5,150,300,Adamax
78,0.30126288533210754,0.26822587847709656,selu,16,5,0.5,150,300,adam
